DATE,OPEN,HIGH,CLOSE,LOW,SHARES_TRADED
2016-09-06,8852.7,8950.85,8943.0,8848.45,201617132.0
2016-09-07,8968.7,8968.7,8917.95,8913.35,299145644.0
2016-09-08,8915.5,8960.35,8952.5,8896.0,223937056.0
2016-09-09,8934.3,8939.15,8866.7,8858.7,181344327.0
2016-09-12,8732.95,8746.95,8715.6,8699.4,190199613.0
2016-09-14,8710.65,8739.85,8726.6,8688.9,189984289.0
2016-09-15,8743.85,8751.95,8742.55,8704.35,149889703.0
2016-09-16,8780.85,8847.65,8779.85,8750.5,274039556.0
2016-09-19,8788.45,8824.3,8808.4,8774.2,135814177.0
2016-09-20,8816.1,8816.45,8775.9,8759.3,140718486.0
2016-09-21,8790.3,8826.85,8777.15,8757.3,153441330.0
2016-09-22,8873.35,8893.35,8867.45,8837.8,178136644.0
2016-09-23,8880.75,8885.2,8831.55,8820.3,191618169.0
2016-09-26,8807.9,8809.55,8723.05,8715.1,169050086.0
2016-09-27,8748.9,8768.5,8706.4,8690.5,156100521.0
2016-09-28,8711.2,8767.05,8745.15,8703.15,170643694.0
2016-09-29,8792.7,8800.65,8591.25,8558.25,384395249.0
2016-09-30,8581.5,8637.15,8611.15,8555.2,187333285.0
2016-10-03,8666.15,8745.2,8738.1,8635.0,141472076.0
2016-10-04,8770.0,8783.65,8769.15,8736.1,189990151.0
2016-10-05,8806.35,8806.95,8743.95,8731.4,162103951.0
2016-10-06,8768.7,8781.15,8709.55,8684.65,168713605.0
2016-10-07,8721.7,8723.7,8697.6,8663.8,155053800.0
2016-10-10,8735.35,8745.8,8708.8,8703.95,111794053.0
2016-10-13,8671.5,8681.55,8573.35,8541.35,218861324.0
2016-10-14,8594.0,8604.45,8583.4,8549.8,167848947.0
2016-10-17,8612.95,8615.4,8520.4,8506.15,203516577.0
2016-10-18,8556.05,8685.1,8677.9,8555.9,216626083.0
2016-10-19,8697.5,8698.75,8659.1,8636.7,177397872.0
2016-10-20,8693.35,8727.0,8699.4,8678.3,165952091.0
2016-10-21,8708.6,8709.1,8693.05,8652.05,162162047.0
2016-10-24,8709.85,8736.95,8708.95,8684.15,161966274.0
2016-10-25,8721.7,8722.65,8691.3,8663.45,195696479.0
2016-10-26,8657.3,8657.3,8615.25,8596.6,226133074.0
2016-10-27,8607.1,8624.85,8615.25,8550.25,250336333.0
2016-10-28,8625.0,8653.75,8638.0,8581.75,180906084.0
2016-10-30,8672.35,8678.25,8625.7,8616.25,16610872.0
2016-11-01,8653.15,8669.6,8626.25,8614.5,170068995.0
2016-11-02,8542.8,8549.5,8514.0,8504.85,160130480.0
2016-11-03,8499.85,8537.65,8484.95,8476.15,175773254.0
2016-11-04,8503.6,8504.0,8433.75,8400.25,231783152.0
2016-11-07,8535.75,8535.85,8497.05,8481.45,178070534.0
2016-11-08,8540.0,8559.4,8543.55,8480.1,201759648.0
2016-11-09,8067.5,8476.2,8432.0,8002.25,323968654.0
2016-11-10,8555.6,8598.45,8525.75,8510.7,271196930.0
2016-11-11,8456.65,8460.6,8296.3,8284.95,275221694.0
2016-11-15,8284.85,8288.55,8108.45,8093.2,370298063.0
2016-11-16,8205.65,8210.05,8111.6,8089.4,277801233.0
2016-11-17,8105.1,8151.25,8079.95,8060.3,197183084.0
2016-11-18,8097.55,8128.95,8074.1,8048.3,166199545.0
2016-11-21,8102.1,8102.45,7929.1,7916.4,225608889.0
2016-11-22,7989.15,8019.05,8002.3,7938.15,216677654.0
2016-11-23,8051.2,8055.2,8033.3,7973.1,186602328.0
2016-11-24,8011.8,8024.85,7965.5,7952.55,268619026.0
2016-11-25,8007.95,8122.25,8114.3,7976.75,183355873.0
2016-11-28,8080.65,8146.5,8126.9,8066.5,195595287.0
2016-11-29,8131.55,8197.35,8142.15,8128.7,195618384.0
2016-11-30,8172.15,8234.25,8224.5,8139.25,255725357.0
2016-12-01,8244.0,8250.8,8192.9,8185.05,162597213.0
2016-12-02,8153.55,8159.3,8086.8,8070.05,176767415.0
2016-12-05,8088.75,8141.9,8128.75,8056.85,130435865.0
2016-12-06,8153.15,8178.7,8143.15,8130.85,118854323.0
2016-12-07,8168.4,8190.45,8102.05,8077.5,175024334.0
2016-12-08,8152.1,8256.25,8246.85,8151.75,146857616.0
2016-12-09,8271.7,8274.95,8261.75,8241.95,154344775.0
2016-12-12,8230.65,8230.65,8170.8,8154.45,111432551.0
2016-12-13,8196.15,8228.85,8221.8,8155.8,189739559.0
2016-12-14,8229.35,8229.4,8182.45,8165.1,149132520.0
2016-12-15,8128.4,8225.9,8153.6,8121.95,187425988.0
2016-12-16,8178.2,8178.7,8139.45,8127.45,209268331.0
2016-12-19,8126.0,8132.5,8104.35,8094.85,110669713.0
2016-12-20,8110.6,8124.1,8082.4,8062.75,132026742.0
2016-12-21,8105.85,8112.55,8061.3,8053.25,127543733.0
2016-12-22,8043.85,8046.45,7979.1,7964.95,126409580.0
2016-12-23,7972.5,8022.6,7985.75,7942.05,127921701.0
2016-12-26,7965.1,7970.05,7908.25,7893.8,110171222.0
2016-12-27,7915.05,8044.65,8032.85,7903.7,122463312.0
2016-12-28,8047.55,8100.55,8034.85,8028.4,130580701.0
2016-12-29,8030.6,8111.1,8103.6,8020.8,183984077.0
2016-12-30,8119.65,8197.0,8185.8,8114.75,131457250.0
2017-01-02,8210.1,8212.0,8179.5,8133.8,122016111.0
